"Fragment","Date.0","Genotype.0","Tank.0","A_Tank.0","Nutrients.0","Disease.0","YII.0","Sample.0","Date.2","Genotype.2","Tank.2","A_Tank.2","Nutrients.2","Disease.2","YII.2","Sample.2","Date.3","Genotype.3","Tank.3","A_Tank.3","Nutrients.3","Disease.3","YII.3","Sample.3","Date.4","Genotype.4","Tank.4","A_Tank.4","Nutrients.4","Disease.4","YII.4","Sample.4","Date.5","Genotype.5","Tank.5","A_Tank.5","Nutrients.5","Disease.5","YII.5","Sample.5","Date.6","Genotype.6","Tank.6","A_Tank.6","Nutrients.6","Disease.6","YII.6","Sample.6","Date.7","Genotype.7","Tank.7","A_Tank.7","Nutrients.7","Disease.7","YII.7","Sample.7","Date.8","Genotype.8","Tank.8","A_Tank.8","Nutrients.8","Disease.8","YII.8","Sample.8","Date.9","Genotype.9","Tank.9","A_Tank.9","Nutrients.9","Disease.9","YII.9","Sample.9","Date.10","Genotype.10","Tank.10","A_Tank.10","Nutrients.10","Disease.10","YII.10","Sample.10","Date.11","Genotype.11","Tank.11","A_Tank.11","Nutrients.11","Disease.11","YII.11","Sample.11","Date.12","Genotype.12","Tank.12","A_Tank.12","Nutrients.12","Disease.12","YII.12","Sample.12","Date.13","Genotype.13","Tank.13","A_Tank.13","Nutrients.13","Disease.13","YII.13","Sample.13"
"A185","2020-08-12","FM19","1","8","NH4","Placebo",0.688,"2020-08-12_A185","2020-09-02","FM19","2","8","NH4","Placebo",0.626,"2020-09-02_A185","2020-09-11","FM19","2","8","NH4","Placebo",0.547,"2020-09-11_A185","2020-09-18","FM19","8","8","NH4","Placebo",0.559,"2020-09-18_A185","2020-09-22","FM19","8","8","NH4","Placebo",0.556,"2020-09-22_A185","2020-09-25","FM19","8","8","NH4","Placebo",0.582,"2020-09-25_A185","2020-10-02","FM19","8","8","NH4","Placebo",0.579,"2020-10-02_A185","2020-10-09","FM19","8","8","NH4","Placebo",0.582,"2020-10-09_A185","2020-10-15","FM19","8","8","NH4","Placebo",0.565,"2020-10-15_A185","2020-10-23","FM19","8","8","NH4","Placebo",0.594,"2020-10-23_A185",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","8","8","NH4","Placebo",0.594,"2020-10-30_A185","2020-11-06","FM19","6","8","NH4","Placebo",0.58,"2020-11-06_A185"
"A186","2020-08-12","FM19","1","1","Ambient","Placebo",0.695,"2020-08-12_A186","2020-09-02","FM19","3","1","Ambient","Placebo",0.607,"2020-09-02_A186","2020-09-11","FM19","7","1","Ambient","Placebo",0.613,"2020-09-11_A186","2020-09-18","FM19","1","1","Ambient","Placebo",0.599,"2020-09-18_A186","2020-09-22","FM19","1","1","Ambient","Placebo",0.565,"2020-09-22_A186","2020-09-25","FM19","1","1","Ambient","Placebo",0.57,"2020-09-25_A186","2020-10-02","FM19","1","1","Ambient","Placebo",0.591,"2020-10-02_A186","2020-10-09","FM19","1","1","Ambient","Placebo",0.569,"2020-10-09_A186","2020-10-15","FM19","5","1","Ambient","Placebo",0.559,"2020-10-15_A186","2020-10-23","FM19","5","1","Ambient","Placebo",0.563,"2020-10-23_A186",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","5","1","Ambient","Placebo",0.563,"2020-10-30_A186","2020-11-06","FM19","3","1","Ambient","Placebo",0.504,"2020-11-06_A186"
"A187","2020-08-12","FM19","1","2","Ambient","Pathogen",0.682,"2020-08-12_A187","2020-09-02","FM19","8","2","Ambient","Pathogen",0.583,"2020-09-02_A187","2020-09-11","FM19","8","2","Ambient","Pathogen",0.58,"2020-09-11_A187","2020-09-18","FM19","2","2","Ambient","Pathogen",0.537,"2020-09-18_A187","2020-09-22","FM19","2","2","Ambient","Pathogen",0.53,"2020-09-22_A187","2020-09-25","FM19","2","2","Ambient","Pathogen",0.547,"2020-09-25_A187","2020-10-02","FM19","2","2","Ambient","Pathogen",0.526,"2020-10-02_A187","2020-10-09","FM19","2","2","Ambient","Pathogen",0.523,"2020-10-09_A187","2020-10-15","FM19","2","2","Ambient","Pathogen",0.554,"2020-10-15_A187","2020-10-23","FM19","2","2","Ambient","Pathogen",0.562,"2020-10-23_A187","2020-10-29","FM19","2","2","Ambient","Pathogen",0.546,"2020-10-29_A187","2020-10-30","FM19","2","2","Ambient","Pathogen",0.512,"2020-10-30_A187",NA,NA,NA,NA,NA,NA,NA,NA
"A188","2020-08-12","FM19","1","8","NH4","Placebo",0.677,"2020-08-12_A188","2020-09-02","FM19","2","8","NH4","Placebo",0.586,"2020-09-02_A188","2020-09-11","FM19","2","8","NH4","Placebo",0.594,"2020-09-11_A188","2020-09-18","FM19","8","8","NH4","Placebo",0.585,"2020-09-18_A188","2020-09-22","FM19","8","8","NH4","Placebo",0.566,"2020-09-22_A188","2020-09-25","FM19","8","8","NH4","Placebo",0.56,"2020-09-25_A188","2020-10-02","FM19","8","8","NH4","Placebo",0.593,"2020-10-02_A188","2020-10-09","FM19","8","8","NH4","Placebo",0.544,"2020-10-09_A188","2020-10-15","FM19","8","8","NH4","Placebo",0.541,"2020-10-15_A188","2020-10-23","FM19","8","8","NH4","Placebo",0.599,"2020-10-23_A188",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","8","8","NH4","Placebo",0.585,"2020-10-30_A188","2020-11-06","FM19","6","8","NH4","Placebo",0.54,"2020-11-06_A188"
"A189","2020-08-12","FM19","1","5","Ambient","Placebo",0.678,"2020-08-12_A189","2020-09-02","FM19","5","5","Ambient","Placebo",0.591,"2020-09-02_A189","2020-09-11","FM19","5","5","Ambient","Placebo",0.573,"2020-09-11_A189","2020-09-18","FM19","5","5","Ambient","Placebo",0.587,"2020-09-18_A189","2020-09-22","FM19","5","5","Ambient","Placebo",0.549,"2020-09-22_A189","2020-09-25","FM19","5","5","Ambient","Placebo",0.521,"2020-09-25_A189","2020-10-02","FM19","5","5","Ambient","Placebo",0.549,"2020-10-02_A189","2020-10-09","FM19","5","5","Ambient","Placebo",0.553,"2020-10-09_A189","2020-10-15","FM19","5","5","Ambient","Placebo",0.551,"2020-10-15_A189","2020-10-23","FM19","5","5","Ambient","Placebo",0.585,"2020-10-23_A189",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","5","5","Ambient","Placebo",0.534,"2020-10-30_A189","2020-11-06","FM19","4","5","Ambient","Placebo",0.497,"2020-11-06_A189"
"A190","2020-08-12","FM19","1","3","NH4","Placebo",0.654,"2020-08-12_A190","2020-09-02","FM19","7","3","NH4","Placebo",0.654,"2020-09-02_A190","2020-09-11","FM19","3","3","NH4","Placebo",0.616,"2020-09-11_A190","2020-09-18","FM19","3","3","NH4","Placebo",0.58,"2020-09-18_A190","2020-09-22","FM19","3","3","NH4","Placebo",0.546,"2020-09-22_A190","2020-09-25","FM19","3","3","NH4","Placebo",0.569,"2020-09-25_A190","2020-10-02","FM19","3","3","NH4","Placebo",0.555,"2020-10-02_A190","2020-10-09","FM19","3","3","NH4","Placebo",0.553,"2020-10-09_A190","2020-10-15","FM19","7","3","NH4","Placebo",0.576,"2020-10-15_A190","2020-10-23","FM19","7","3","NH4","Placebo",0.585,"2020-10-23_A190",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","7","3","NH4","Placebo",0.589,"2020-10-30_A190","2020-11-06","FM19","5","3","NH4","Placebo",0.52,"2020-11-06_A190"
"A191","2020-08-12","FM19","1","1","Ambient","Placebo",0.688,"2020-08-12_A191","2020-09-02","FM19","3","1","Ambient","Placebo",0.623,"2020-09-02_A191","2020-09-11","FM19","7","1","Ambient","Placebo",0.618,"2020-09-11_A191","2020-09-18","FM19","1","1","Ambient","Placebo",0.588,"2020-09-18_A191","2020-09-22","FM19","1","1","Ambient","Placebo",0.566,"2020-09-22_A191","2020-09-25","FM19","1","1","Ambient","Placebo",0.582,"2020-09-25_A191","2020-10-02","FM19","1","1","Ambient","Placebo",0.598,"2020-10-02_A191","2020-10-09","FM19","1","1","Ambient","Placebo",0.565,"2020-10-09_A191","2020-10-15","FM19","5","1","Ambient","Placebo",0.568,"2020-10-15_A191","2020-10-23","FM19","5","1","Ambient","Placebo",0.569,"2020-10-23_A191",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","5","1","Ambient","Placebo",0.55,"2020-10-30_A191","2020-11-06","FM19","4","1","Ambient","Placebo",0.54,"2020-11-06_A191"
"A192","2020-08-12","FM19","1","7","NH4","Placebo",0.675,"2020-08-12_A192","2020-09-02","FM19","1","7","NH4","Placebo",0.647,"2020-09-02_A192","2020-09-11","FM19","1","7","NH4","Placebo",0.57,"2020-09-11_A192","2020-09-18","FM19","7","7","NH4","Placebo",0.576,"2020-09-18_A192","2020-09-22","FM19","7","7","NH4","Placebo",0.581,"2020-09-22_A192","2020-09-25","FM19","7","7","NH4","Placebo",0.586,"2020-09-25_A192","2020-10-02","FM19","7","7","NH4","Placebo",0.561,"2020-10-02_A192","2020-10-09","FM19","7","7","NH4","Placebo",0.582,"2020-10-09_A192","2020-10-15","FM19","7","7","NH4","Placebo",0.564,"2020-10-15_A192","2020-10-23","FM19","7","7","NH4","Placebo",0.579,"2020-10-23_A192",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","7","7","NH4","Placebo",0.57,"2020-10-30_A192","2020-11-06","FM19","5","7","NH4","Placebo",0.484,"2020-11-06_A192"
"A193","2020-08-12","FM19","1","2","Ambient","Placebo",0.691,"2020-08-12_A193","2020-09-02","FM19","8","2","Ambient","Placebo",0.651,"2020-09-02_A193","2020-09-11","FM19","8","2","Ambient","Placebo",0.616,"2020-09-11_A193","2020-09-18","FM19","2","2","Ambient","Placebo",0.577,"2020-09-18_A193","2020-09-22","FM19","2","2","Ambient","Placebo",0.539,"2020-09-22_A193","2020-09-25","FM19","2","2","Ambient","Placebo",0.56,"2020-09-25_A193","2020-10-02","FM19","2","2","Ambient","Placebo",0.554,"2020-10-02_A193","2020-10-09","FM19","2","2","Ambient","Placebo",0.519,"2020-10-09_A193","2020-10-15","FM19","6","2","Ambient","Placebo",0.499,"2020-10-15_A193","2020-10-23","FM19","6","2","Ambient","Placebo",0.549,"2020-10-23_A193",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","6","2","Ambient","Placebo",0.55,"2020-10-30_A193","2020-11-06","FM19","5","2","Ambient","Pathogen",0.526,"2020-11-06_A193"
"A194","2020-08-12","FM19","1","6","Ambient","Pathogen",0.696,"2020-08-12_A194","2020-09-02","FM19","6","6","Ambient","Pathogen",0.595,"2020-09-02_A194","2020-09-11","FM19","6","6","Ambient","Pathogen",0.622,"2020-09-11_A194","2020-09-18","FM19","6","6","Ambient","Pathogen",0.584,"2020-09-18_A194","2020-09-22","FM19","6","6","Ambient","Pathogen",0.491,"2020-09-22_A194","2020-09-25","FM19","6","6","Ambient","Pathogen",0.567,"2020-09-25_A194","2020-10-02","FM19","6","6","Ambient","Pathogen",0.574,"2020-10-02_A194","2020-10-09","FM19","6","6","Ambient","Pathogen",0.564,"2020-10-09_A194","2020-10-15","FM19","2","6","Ambient","Pathogen",0.544,"2020-10-15_A194","2020-10-23","FM19","2","6","Ambient","Pathogen",0.572,"2020-10-23_A194","2020-10-29","FM19","2","6","Ambient","Pathogen",0.508,"2020-10-29_A194","2020-10-30","FM19","2","6","Ambient","Pathogen",0.496,"2020-10-30_A194",NA,NA,NA,NA,NA,NA,NA,NA
"A195","2020-08-12","FM19","1","3","NH4","Pathogen",0.7,"2020-08-12_A195","2020-09-02","FM19","7","3","NH4","Pathogen",0.637,"2020-09-02_A195","2020-09-11","FM19","3","3","NH4","Pathogen",0.578,"2020-09-11_A195","2020-09-18","FM19","3","3","NH4","Pathogen",0.532,"2020-09-18_A195","2020-09-22","FM19","3","3","NH4","Pathogen",0.531,"2020-09-22_A195","2020-09-25","FM19","3","3","NH4","Pathogen",0.579,"2020-09-25_A195","2020-10-02","FM19","3","3","NH4","Pathogen",0.57,"2020-10-02_A195","2020-10-09","FM19","3","3","NH4","Pathogen",0.566,"2020-10-09_A195","2020-10-15","FM19","3","3","NH4","Pathogen",0.595,"2020-10-15_A195","2020-10-23","FM19","3","3","NH4","Pathogen",0.571,"2020-10-23_A195",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","3","3","NH4","Pathogen",0.564,"2020-10-30_A195",NA,NA,NA,NA,NA,NA,NA,NA
"A196","2020-08-12","FM19","1","7","NH4","Placebo",0.686,"2020-08-12_A196","2020-09-02","FM19","1","7","NH4","Placebo",0.625,"2020-09-02_A196","2020-09-11","FM19","1","7","NH4","Placebo",0.625,"2020-09-11_A196","2020-09-18","FM19","7","7","NH4","Placebo",0.613,"2020-09-18_A196","2020-09-22","FM19","7","7","NH4","Placebo",0.575,"2020-09-22_A196","2020-09-25","FM19","7","7","NH4","Placebo",0.591,"2020-09-25_A196","2020-10-02","FM19","7","7","NH4","Placebo",0.569,"2020-10-02_A196","2020-10-09","FM19","7","7","NH4","Placebo",0.591,"2020-10-09_A196","2020-10-15","FM19","7","7","NH4","Placebo",0.577,"2020-10-15_A196","2020-10-23","FM19","7","7","NH4","Placebo",0.567,"2020-10-23_A196",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","7","7","NH4","Placebo",0.568,"2020-10-30_A196","2020-11-06","FM19","5","7","NH4","Placebo",0.546,"2020-11-06_A196"
"A197","2020-08-12","FM19","1","2","Ambient","Placebo",0.697,"2020-08-12_A197","2020-09-02","FM19","8","2","Ambient","Placebo",0.621,"2020-09-02_A197","2020-09-11","FM19","8","2","Ambient","Placebo",0.613,"2020-09-11_A197","2020-09-18","FM19","2","2","Ambient","Placebo",0.59,"2020-09-18_A197","2020-09-22","FM19","2","2","Ambient","Placebo",0.553,"2020-09-22_A197","2020-09-25","FM19","2","2","Ambient","Placebo",0.582,"2020-09-25_A197","2020-10-02","FM19","2","2","Ambient","Placebo",0.501,"2020-10-02_A197","2020-10-09","FM19","2","2","Ambient","Placebo",0.563,"2020-10-09_A197","2020-10-15","FM19","6","2","Ambient","Placebo",0.55,"2020-10-15_A197","2020-10-23","FM19","6","2","Ambient","Placebo",0.528,"2020-10-23_A197",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","6","2","Ambient","Placebo",0.495,"2020-10-30_A197","2020-11-06","FM19","5","2","Ambient","Pathogen",0.53,"2020-11-06_A197"
"A198","2020-08-12","FM19","1","4","NH4","Placebo",0.697,"2020-08-12_A198","2020-09-02","FM19","4","4","NH4","Placebo",0.567,"2020-09-02_A198","2020-09-11","FM19","4","4","NH4","Placebo",0.622,"2020-09-11_A198","2020-09-18","FM19","4","4","NH4","Placebo",0.603,"2020-09-18_A198","2020-09-22","FM19","4","4","NH4","Placebo",0.572,"2020-09-22_A198","2020-09-25","FM19","4","4","NH4","Placebo",0.592,"2020-09-25_A198","2020-10-02","FM19","4","4","NH4","Placebo",0.559,"2020-10-02_A198","2020-10-09","FM19","4","4","NH4","Placebo",0.539,"2020-10-09_A198","2020-10-15","FM19","8","4","NH4","Placebo",0.555,"2020-10-15_A198","2020-10-23","FM19","8","4","NH4","Placebo",0.579,"2020-10-23_A198",NA,NA,NA,NA,NA,NA,NA,NA,"2020-10-30","FM19","8","4","NH4","Placebo",0.573,"2020-10-30_A198","2020-11-06","FM19","6","4","NH4","Placebo",0.542,"2020-11-06_A198"
