Initial sample ID,Tag,SampleID,SampleDate,Time,Genotype,Nutrients ,Diseased,Combo,Tank_N,Tank_D1,Tank_D2,Type,Notes,Archive box,Sequence?,PairN,RNAPlate,SamplePlate,well,Extraction date
67,262,N67_262,2020-10-30,,FM14,NH4,Placebo,NH4_Placebo,7,7,,Razor,,2,OnlyNutrients,,1,50,B7,2021-02-04
68,A010,N68_A010,2020-10-30,,Kelsey-1,NH4,Placebo,NH4_Placebo,8,8,,Razor,,2,OnlyNutrients,,1,51,C7,2021-02-04
69,A034,N69_A034,2020-10-30,,Cooper-9,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,52,D7,2021-02-04
70,A052,N70_A052,2020-10-30,,Acerv2,NH4,Placebo,NH4_Placebo,8,8,,Razor,,2,OnlyNutrients,,1,53,E7,2021-02-04
71,A068,N71_A068,2020-10-30,,Elkhorn,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,54,F7,2021-02-04
72,A071,N72_A071,2020-10-30,,U44,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,55,G7,2021-02-04
73,A155,N73_A155,2020-10-30,,K2,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,56,H7,2021-02-04
74,A198,N74_A198,2020-10-30,,FM19,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,57,A8,2021-02-04
75,211,N75_211,2020-10-30,,FM9,NH4,Placebo,NH4_Placebo,8,8,,Razor,,2,OnlyNutrients,,1,58,B8,2021-02-04
76,266,N76_266,2020-10-30,,FM6,NH4,Placebo,NH4_Placebo,4,8,,Razor,,2,OnlyNutrients,,1,59,C8,2021-02-04
77,282,N77_282,2020-10-30,,FM14,NH4,Placebo,NH4_Placebo,8,8,,Razor,,2,OnlyNutrients,,1,60,D8,2021-02-04
78,A009,N78_A009,2020-10-30,,Kelsey-1,NH4,Placebo,NH4_Placebo,7,7,,Clipped,,1,LateNutrients,,1,61,E8,2021-02-04
79,A097,N79_A097,2020-10-31,05:23:00 PM,Kelsey-1,NH4,Pathogen,NH4_Pathogen,8,4,,Clipped,Tip with TL on polyps ,1,LateNutrients,,1,62,F8,2021-02-04
80,A022,N80_A022,2020-10-31,05:24:00 PM,Cooper-9,NH4,Pathogen,NH4_Pathogen,7,3,,Clipped,Super thin tissue,1,LateNutrients,,1,63,G8,2021-02-04
81,A021,N81_A021,2020-11-01,01:37:00 PM,Cooper-9,NH4,Pathogen,NH4_Pathogen,3,3,,Clipped,TL base,1,Disease,,1,64,H8,2021-02-04
82,A056,N82_A056,2020-11-02,12:06:00 PM,Acerv2,NH4,Placebo,NH4_Placebo,3,7,,Clipped,TL base,1,Disease,1,1,65,A9,2021-02-04
83,A046,N83_A046,2020-11-03,12:50:00 PM,Acerv2,NH4,Pathogen,NH4_Pathogen,4,4,4,Clipped,Almost completley gone,1,Disease,1,1,66,B9,2021-02-04
84,A030,N84_A030,2020-11-03,02:40:00 PM,Cooper-9,Ambient,Pathogen,Ambient_Pathogen,1,1,,Clipped,Almost completley gone/not paired,1,Disease,Unpaired,1,67,C9,2021-02-04
85,A055,N85_A055,2020-11-03,04:50:00 PM,Acerv2,Ambient,Placebo,Ambient_Placebo,1,5,5,Clipped,Pair,1,Disease,100,1,68,D9,2021-02-04
86,A052,N86_A052,2020-11-03,05:00:00 PM,Acerv2,NH4,Placebo,NH4_Placebo,8,8,8,Clipped,Pair,1,Disease,1,1,69,E9,2021-02-04
89,A053,N89_A053,2020-11-03,05:05:00 PM,Acerv2,Ambient,Pathogen,Ambient_Pathogen,1,1,1,Clipped,TL on Tip,1,Disease,100,1,70,F9,2021-02-04
90,A039,N90_A039,2020-11-03,05:10:00 PM,Acerv2,NH4,Pathogen,NH4_Pathogen,3,3,3,Clipped,TL base ,1,Disease,1,1,71,G9,2021-02-04
91,A041,N91_A041,2020-11-03,05:14:00 PM,Acerv2,NH4,Pathogen,NH4_Pathogen,8,4,4,Clipped,Recent and little TL/sample does not seem to include the thin tissue area,1,Disease,1,1,72,H9,2021-02-04
92,A007,N92_A007,2020-11-04,10:30:00 AM,Kelsey-1,NH4,Placebo,NH4_Placebo,7,7,7,Clipped,"Started TL AM, gone PM",1,Disease,Unpaired-Nutrients,1,73,A10,2021-02-04
93,A121,N93_A121,2020-11-04,10:30:00 AM,U44,Ambient,Pathogen,Ambient_Pathogen,5,1,1,Clipped,TL base ,1,Disease,101,1,74,B10,2021-02-04
94,A091,N94_A091,2020-11-04,11:30:00 AM,U44,Ambient,Placebo,Ambient_Placebo,5,5,5,Clipped,Pair,1,Disease,101,1,75,C10,2021-02-04
95,215,N95_215,2020-11-04,06:00:00 PM,FM9,NH4,Placebo,NH4_Placebo,3,7,7,Clipped,Pair,1,Disease,2,1,76,D10,2021-02-04
96,231,N96_231,2020-11-04,06:00:00 PM,FM6,NH4,Placebo,NH4_Placebo,7,7,7,Clipped,Pair,1,Disease,3,1,77,E10,2021-02-04
97,205,N97_205,2020-11-04,06:00:00 PM,FM9,NH4,Pathogen,NH4_Pathogen,7,3,3,Clipped,TL base ,1,Disease,2,1,78,F10,2021-02-04
98,253,N98_253,2020-11-04,06:00:00 PM,FM6,NH4,Pathogen,NH4_Pathogen,7,3,3,Clipped,T middle ,1,Disease,3,1,79,G10,2021-02-04
99,A036,N99_A036,2020-11-04,06:00:00 PM,Cooper-9,NH4,Placebo,NH4_Placebo,3,7,7,Clipped,Pair,1,Disease,4,1,80,H10,2021-02-04
100,A027,N100_A027,2020-11-04,06:00:00 PM,Cooper-9,NH4,Pathogen,NH4_Pathogen,4,4,4,Clipped,TL base ,1,Disease,4,1,81,A11,2021-02-04
101,A118,N101_A118,2020-11-04,06:30:00 PM,U41,NH4,Pathogen,NH4_Pathogen,4,4,4,Clipped,"TL base, not sotrong",1,Disease,Unpaired-U41,1,82,B11,2021-02-04
102,A012,N102_A012,2020-11-05,12:30:00 PM,Kelsey-1,Ambient,Placebo,Ambient_Placebo,1,5,5,Clipped,Pair,1,Disease,102,1,83,C11,2021-02-04
103,A028,N103_A028,2020-11-05,12:30:00 PM,Cooper-9,Ambient,Placebo,Ambient_Placebo,5,5,6,Clipped,Pair,1,Disease,103,1,84,D11,2021-02-04
104,276,N104_276,2020-11-05,12:30:00 PM,FM14,Ambient,Placebo,Ambient_Placebo,5,5,6,Clipped,Pair,1,Disease,104,1,85,E11,2021-02-04
105,258,N105_258,2020-11-05,12:30:00 PM,FM6,NH4,Placebo,NH4_Placebo,3,7,7,Clipped,Pair,1,Disease,5,1,86,F11,2021-02-04
106,A051,N106_A051,2020-11-05,12:30:00 PM,Acerv2,NH4,Placebo,NH4_Placebo,7,7,7,Clipped,Pair,1,Disease,6,1,87,G11,2021-02-04
107,162,N107_162,2020-11-05,12:30:00 PM,K2,NH4,Placebo,NH4_Placebo,3,7,7,Clipped,Pair,1,Disease,7,1,88,H11,2021-02-04
108,A188,N108_A188,2020-11-05,12:30:00 PM,FM19,NH4,Placebo,NH4_Placebo,8,8,8,Clipped,Pair,1,Disease,8,1,89,A12,2021-02-04
109,A101,N109_A101,2020-11-05,12:45:00 PM,Kelsey-1,NH4,Placebo,NH4_Placebo,8,8,8,Clipped,TL/thinning tissue,1,Disease,Unpaired-Nutrients,1,90,B12,2021-02-04
110,A045,N110_A045,2020-11-05,12:45:00 PM,Acerv2,NH4,Placebo,NH4_Placebo,4,8,8,Clipped,TL base,1,Disease,6,1,91,C12,2021-02-04
111,A010,N111_A010,2020-11-05,12:45:00 PM,Kelsey-1,NH4,Placebo,NH4_Placebo,8,8,8,Clipped,TL/thinning tissue,1,Disease,Unpaired-Nutrients,1,92,D12,2021-02-04
112,A005,N112_A005,2020-11-05,12:45:00 PM,Kelsey-1,Ambient,Pathogen,Ambient_Pathogen,1,1,1,Clipped,TL base,1,Disease,102,1,93,E12,2021-02-04
113,A016,N113_A016,2020-11-05,12:50:00 PM,Cooper-9,Ambient,Pathogen,Ambient_Pathogen,6,1,1,Clipped,TL/thinning tissue,1,Disease,103,1,94,F12,2021-02-04
114,281,N114_281,2020-11-05,12:50:00 PM,FM14,Ambient,Pathogen,Ambient_Pathogen,1,1,1,Clipped,TL base,1,Disease,104,1,95,G12,2021-02-04
115,247,N115_247,2020-11-05,01:20:00 PM,FM6,NH4,Pathogen,NH4_Pathogen,7,3,3,Clipped,TL base...bad,1,Disease,5,1,96,H12,2021-02-04
