Tag,Genotype,Nutrients,Disease,Available,A_Tank,Blast_Tank
A029,Cooper-9,NH4,Pathogen,Experiment,8,4
A030,Cooper-9,Ambient,Pathogen,Experiment,1,1
A031,Cooper-9,Ambient,Pathogen,Experiment,1,1
A032,Cooper-9,Ambient,Pathogen,Experiment,6,2
A033,Cooper-9,Ambient,Placebo,Experiment,1,5
A034,Cooper-9,NH4,Placebo,Experiment,4,8
A035,Cooper-9,Ambient,Placebo,Experiment,2,6
A036,Cooper-9,NH4,Placebo,Experiment,3,7
A037,Cooper-9,NH4,Placebo,Experiment,4,8
A038,Cooper-9,NH4,Pathogen,Experiment,8,4
A039,Acerv2,NH4,Pathogen,Experiment,3,3
A040,Acerv2,NH4,Pathogen,Experiment,4,4
A041,Acerv2,NH4,Pathogen,Experiment,8,4
A042,Acerv2,Ambient,Placebo,Experiment,2,6
A043,Acerv2,Ambient,Placebo,Experiment,2,6
A044,Acerv2,Ambient,Pathogen,Experiment,6,2
A045,Acerv2,NH4,Placebo,Experiment,4,8
A046,Acerv2,NH4,Pathogen,Experiment,4,4
A047,Acerv2,Ambient,Placebo,Experiment,1,5
A048,Acerv2,NH4,Placebo,Experiment,7,7
A049,Acerv2,Ambient,Pathogen,Experiment,5,1
A050,Acerv2,Ambient,Placebo,Experiment,6,6
A051,Acerv2,NH4,Placebo,Experiment,7,7
A052,Acerv2,NH4,Placebo,Experiment,8,8
A053,Acerv2,Ambient,Pathogen,Experiment,1,1
A055,Acerv2,Ambient,Placebo,Experiment,1,5
A056,Acerv2,NH4,Placebo,Experiment,3,7
A057,Acerv2,Ambient,Pathogen,Experiment,5,1
A058,Acerv2,NH4,Pathogen,Experiment,3,3
A059,Acerv2,Ambient,Pathogen,Experiment,6,2
A060,Acerv2,NH4,Placebo,Experiment,8,8
A061,Acerv2,NH4,Pathogen,Experiment,7,3
A062,Acerv2,Ambient,Placebo,Experiment,5,5
A064,Elkhorn,NH4,Pathogen,Experiment,3,3
A065,Elkhorn,Ambient,Placebo,Experiment,2,6
A066,Elkhorn,Ambient,Placebo,Experiment,5,5
A067,U44,NH4,Pathogen,Experiment,7,3
A068,Elkhorn,NH4,Placebo,Experiment,4,8
A069,Elkhorn,Ambient,Placebo,Experiment,1,5
A071,U44,NH4,Placebo,Experiment,4,8
A072,Elkhorn,NH4,Placebo,Experiment,8,8
A075,Elkhorn,NH4,Pathogen,Experiment,7,3
A076,Elkhorn,NH4,Pathogen,Experiment,4,4
A077,Elkhorn,NH4,Placebo,Experiment,7,7
A078,Elkhorn,NH4,Pathogen,Experiment,8,4
A079,Elkhorn,Ambient,Placebo,Experiment,2,6
A080,Elkhorn,Ambient,Pathogen,Experiment,2,2
A082,Elkhorn,Ambient,Pathogen,Experiment,6,2
A083,Elkhorn,NH4,Placebo,Experiment,8,8
A084,Elkhorn,NH4,Pathogen,Experiment,7,3
A085,U44,Ambient,Pathogen,Experiment,2,2
A086,Elkhorn,Ambient,Pathogen,Experiment,5,1
A087,Elkhorn,Ambient,Pathogen,Experiment,5,1
A088,Elkhorn,Ambient,Pathogen,Experiment,1,1
A089,Elkhorn,NH4,Pathogen,Experiment,4,4
A090,Elkhorn,Ambient,Placebo,Experiment,6,6
A091,U44,Ambient,Placebo,Experiment,5,5
A092,Elkhorn,NH4,Placebo,Experiment,3,7
A093,Kelsey-1,Ambient,Pathogen,Experiment,2,2
A094,Kelsey-1,NH4,Pathogen,Experiment,3,3
A095,Kelsey-1,Ambient,Pathogen,Experiment,5,1
A096,Kelsey-1,Ambient,Placebo,Experiment,6,6
A097,Kelsey-1,NH4,Pathogen,Experiment,8,4
A098,Kelsey-1,Ambient,Pathogen,Experiment,6,2
A099,Kelsey-1,Ambient,Placebo,Experiment,2,6
A100,Kelsey-1,NH4,Pathogen,Experiment,3,3
A101,Kelsey-1,NH4,Placebo,Experiment,8,8
A102,U44,NH4,Pathogen,Experiment,4,4
A103,Kelsey-1,Ambient,Placebo,Experiment,1,5
A104,U44,Ambient,Pathogen,Experiment,1,1
A105,U44,NH4,Placebo,Experiment,7,7
A106,U44,NH4,Placebo,Experiment,3,7
A107,U41,NH4,Pathogen,Experiment,4,4
A109,U44,Ambient,Placebo,Experiment,5,5
A110,U41,Ambient,Pathogen,Experiment,1,1
A111,U44,NH4,Pathogen,Experiment,8,4
A112,U41,Ambient,Pathogen,Experiment,6,2
A113,U44,Ambient,Pathogen,Experiment,1,1
A114,U41,NH4,Pathogen,Experiment,8,4
A115,U41,Ambient,Pathogen,Experiment,5,1
A116,U41,NH4,Pathogen,Experiment,7,3
A118,U41,NH4,Pathogen,Experiment,4,4
A119,U41,NH4,Pathogen,Experiment,3,3
A120,U44,Ambient,Placebo,Experiment,1,5
A121,U44,Ambient,Pathogen,Experiment,5,1
A122,U44,Ambient,Placebo,Experiment,6,6
A123,U41,Ambient,Pathogen,Experiment,6,2
A124,U41,Ambient,Pathogen,Experiment,2,2
A125,U41,NH4,Pathogen,Experiment,3,3
A127,U44,NH4,Placebo,Experiment,7,7
A128,U44,Ambient,Placebo,Experiment,6,6
A129,U44,NH4,Pathogen,Experiment,4,4
A130,U44,NH4,Pathogen,Experiment,3,3
A131,U44,NH4,Placebo,Experiment,8,8
A132,U44,Ambient,Pathogen,Experiment,6,2
A133,U44,Ambient,Pathogen,Experiment,2,2
A134,U44,NH4,Placebo,Experiment,8,8
A152,K2,NH4,Pathogen,Experiment,7,3
A153,Kelsey-1,NH4,Pathogen,Experiment,4,4
A154,K2,Ambient,Placebo,Experiment,5,5
A155,K2,NH4,Placebo,Experiment,4,8
A156,K2,Ambient,Pathogen,Experiment,2,2
A157,K2,NH4,Pathogen,Experiment,8,4
A158,K2,NH4,Pathogen,Experiment,7,3
A159,K2,NH4,Placebo,Experiment,7,7
A160,K2,Ambient,Placebo,Experiment,5,5
A161,K2,NH4,Pathogen,Experiment,8,4
A162,K2,NH4,Placebo,Experiment,3,7
A163,K2,NH4,Pathogen,Experiment,4,4
A164,K2,Ambient,Pathogen,Experiment,1,1
A165,K2,NH4,Placebo,Experiment,8,8
A166,K2,Ambient,Pathogen,Experiment,5,1
A167,K2,NH4,Pathogen,Experiment,3,3
A168,K2,Ambient,Pathogen,Experiment,2,2
A170,K2,Ambient,Pathogen,Experiment,1,1
A171,K2,Ambient,Placebo,Experiment,2,6
A172,K2,NH4,Placebo,Experiment,4,8
A173,K2,Ambient,Placebo,Experiment,6,6
A174,K2,Ambient,Pathogen,Experiment,6,2
A175,FM19,NH4,Pathogen,Experiment,3,3
A176,FM19,NH4,Pathogen,Experiment,4,4
A177,FM19,Ambient,Pathogen,Experiment,6,2
A178,FM19,Ambient,Placebo,Experiment,6,6
A179,FM19,NH4,Pathogen,Experiment,4,4
A180,FM19,Ambient,Pathogen,Experiment,5,1
A181,FM19,Ambient,Pathogen,Experiment,5,1
A182,FM19,Ambient,Pathogen,Experiment,1,1
A183,FM19,NH4,Pathogen,Experiment,8,4
A184,FM19,NH4,Pathogen,Experiment,7,3
A185,FM19,NH4,Placebo,Experiment,8,8
A186,FM19,Ambient,Placebo,Experiment,1,5
A187,FM19,Ambient,Pathogen,Experiment,2,2
A188,FM19,NH4,Placebo,Experiment,8,8
A189,FM19,Ambient,Placebo,Experiment,5,5
A190,FM19,NH4,Placebo,Experiment,3,7
A191,FM19,Ambient,Placebo,Experiment,1,5
A192,FM19,NH4,Placebo,Experiment,7,7
A193,FM19,Ambient,Placebo,Experiment,2,6
A194,FM19,Ambient,Pathogen,Experiment,6,2
A195,FM19,NH4,Pathogen,Experiment,3,3
A196,FM19,NH4,Placebo,Experiment,7,7
A197,FM19,Ambient,Placebo,Experiment,2,6
A198,FM19,NH4,Placebo,Experiment,4,8
A199,FM9,NH4,Pathogen,Experiment,4,4
A200,FM9,Ambient,Pathogen,Experiment,5,1
257,FM6,Extra,Extra,Extra?,,
306,Kelsey-1,Extra,Extra,Extra?,,
A026,Cooper-9,TL,TL,Extra?,,
A136,Kelsey-1,Extra,Extra,Extra?,,
A141,U44,Extra,Extra,Extra?,,
A142,Elkhorn,Extra,Extra,Extra?,,
A148,U44,Extra,Extra,Extra?,,
229,FM9,Ambient,Pathogen,Dead,,
A054,Acerv2,Ambient,Pathogen,Dead,,
A181,FM19,Ambient,Pathogen,Dead,,
A073,Elkhorn,Ambient,Pathogen,Dead,,
A074,Elkhorn,Dead,Dead,Dead,,
A081,Elkhorn,NH4,Placebo,Dead,,
A145,Elkhorn,Ambient,Pathogen,Dead,,
A151,K2,NH4,Placebo,Dead,,
A169,K2,Ambient,Placebo,Dead,,
A063,Elkhorn,Ambient,Pathogen,Dead,,
A070,Elkhorn,NH4,Placebo,Dead,,
